Date and time,Spillway Discharge (Cumecs),Quality,Interpolation type,Remarks
16-06-1978 00:00,0,unverified data,PrecVal,
17-06-1978 00:00,0,unverified data,PrecVal,
18-06-1978 00:00,0,unverified data,PrecVal,
19-06-1978 00:00,0,unverified data,PrecVal,
20-06-1978 00:00,0,unverified data,PrecVal,
21-06-1978 00:00,0,unverified data,PrecVal,
22-06-1978 00:00,0,unverified data,PrecVal,
23-06-1978 00:00,0,unverified data,PrecVal,
24-06-1978 00:00,0,unverified data,PrecVal,
25-06-1978 00:00,0,unverified data,PrecVal,
26-06-1978 00:00,0,unverified data,PrecVal,
27-06-1978 00:00,0,unverified data,PrecVal,
28-06-1978 00:00,0,unverified data,PrecVal,
29-06-1978 00:00,0,unverified data,PrecVal,
30-06-1978 00:00,0,unverified data,PrecVal,
01-07-1978 00:00,0,unverified data,PrecVal,
02-07-1978 00:00,0,unverified data,PrecVal,
03-07-1978 00:00,0,unverified data,PrecVal,
04-07-1978 00:00,0,unverified data,PrecVal,
05-07-1978 00:00,0,unverified data,PrecVal,
06-07-1978 00:00,0,unverified data,PrecVal,
07-07-1978 00:00,0,unverified data,PrecVal,
08-07-1978 00:00,0,unverified data,PrecVal,
09-07-1978 00:00,0,unverified data,PrecVal,
10-07-1978 00:00,0,unverified data,PrecVal,
11-07-1978 00:00,0,unverified data,PrecVal,
12-07-1978 00:00,0,unverified data,PrecVal,
13-07-1978 00:00,0,unverified data,PrecVal,
14-07-1978 00:00,0,unverified data,PrecVal,
15-07-1978 00:00,0,unverified data,PrecVal,
16-07-1978 00:00,0,unverified data,PrecVal,
17-07-1978 00:00,0,unverified data,PrecVal,
18-07-1978 00:00,0,unverified data,PrecVal,
19-07-1978 00:00,0,unverified data,PrecVal,
20-07-1978 00:00,0,unverified data,PrecVal,
21-07-1978 00:00,0,unverified data,PrecVal,
22-07-1978 00:00,0,unverified data,PrecVal,
23-07-1978 00:00,0,unverified data,PrecVal,
24-07-1978 00:00,0,unverified data,PrecVal,
25-07-1978 00:00,0,unverified data,PrecVal,
26-07-1978 00:00,0,unverified data,PrecVal,
27-07-1978 00:00,0,unverified data,PrecVal,
28-07-1978 00:00,0,unverified data,PrecVal,
29-07-1978 00:00,0,unverified data,PrecVal,
30-07-1978 00:00,0,unverified data,PrecVal,
31-07-1978 00:00,0,unverified data,PrecVal,
01-08-1978 00:00,0,unverified data,PrecVal,
02-08-1978 00:00,0,unverified data,PrecVal,
03-08-1978 00:00,0,unverified data,PrecVal,
04-08-1978 00:00,0,unverified data,PrecVal,
05-08-1978 00:00,0,unverified data,PrecVal,
06-08-1978 00:00,0,unverified data,PrecVal,
07-08-1978 00:00,0,unverified data,PrecVal,
08-08-1978 00:00,0,unverified data,PrecVal,
09-08-1978 00:00,0,unverified data,PrecVal,
10-08-1978 00:00,0,unverified data,PrecVal,
11-08-1978 00:00,0,unverified data,PrecVal,
12-08-1978 00:00,0,unverified data,PrecVal,
13-08-1978 00:00,0,unverified data,PrecVal,
14-08-1978 00:00,0,unverified data,PrecVal,
15-08-1978 00:00,0,unverified data,PrecVal,
16-08-1978 00:00,0,unverified data,PrecVal,
17-08-1978 00:00,0,unverified data,PrecVal,
18-08-1978 00:00,0,unverified data,PrecVal,
19-08-1978 00:00,0,unverified data,PrecVal,
20-08-1978 00:00,0,unverified data,PrecVal,
21-08-1978 00:00,0,unverified data,PrecVal,
22-08-1978 00:00,0,unverified data,PrecVal,
23-08-1978 00:00,0,unverified data,PrecVal,
24-08-1978 00:00,0,unverified data,PrecVal,
25-08-1978 00:00,0,unverified data,PrecVal,
26-08-1978 00:00,0,unverified data,PrecVal,
27-08-1978 00:00,0,unverified data,PrecVal,
28-08-1978 00:00,0,unverified data,PrecVal,
29-08-1978 00:00,0,unverified data,PrecVal,
30-08-1978 00:00,0,unverified data,PrecVal,
31-08-1978 00:00,0,unverified data,PrecVal,
01-09-1978 00:00,0,unverified data,PrecVal,
02-09-1978 00:00,0,unverified data,PrecVal,
03-09-1978 00:00,0,unverified data,PrecVal,
04-09-1978 00:00,0,unverified data,PrecVal,
05-09-1978 00:00,0,unverified data,PrecVal,
06-09-1978 00:00,0,unverified data,PrecVal,
07-09-1978 00:00,0,unverified data,PrecVal,
08-09-1978 00:00,0,unverified data,PrecVal,
09-09-1978 00:00,0,unverified data,PrecVal,
10-09-1978 00:00,0,unverified data,PrecVal,
11-09-1978 00:00,0,unverified data,PrecVal,
12-09-1978 00:00,0,unverified data,PrecVal,
13-09-1978 00:00,0,unverified data,PrecVal,
14-09-1978 00:00,0,unverified data,PrecVal,
15-09-1978 00:00,0,unverified data,PrecVal,
16-09-1978 00:00,0,unverified data,PrecVal,
17-09-1978 00:00,0,unverified data,PrecVal,
18-09-1978 00:00,0,unverified data,PrecVal,
19-09-1978 00:00,0,unverified data,PrecVal,
20-09-1978 00:00,0,unverified data,PrecVal,
21-09-1978 00:00,0,unverified data,PrecVal,
22-09-1978 00:00,0,unverified data,PrecVal,
23-09-1978 00:00,0,unverified data,PrecVal,
24-09-1978 00:00,0,unverified data,PrecVal,
25-09-1978 00:00,0,unverified data,PrecVal,
26-09-1978 00:00,0,unverified data,PrecVal,
27-09-1978 00:00,0,unverified data,PrecVal,
28-09-1978 00:00,0,unverified data,PrecVal,
29-09-1978 00:00,0,unverified data,PrecVal,
30-09-1978 00:00,0,unverified data,PrecVal,
01-10-1978 00:00,0,unverified data,PrecVal,
02-10-1978 00:00,0,unverified data,PrecVal,
03-10-1978 00:00,0,unverified data,PrecVal,
04-10-1978 00:00,0,unverified data,PrecVal,
05-10-1978 00:00,0,unverified data,PrecVal,
06-10-1978 00:00,0,unverified data,PrecVal,
07-10-1978 00:00,0,unverified data,PrecVal,
08-10-1978 00:00,0,unverified data,PrecVal,
09-10-1978 00:00,0,unverified data,PrecVal,
10-10-1978 00:00,0,unverified data,PrecVal,
11-10-1978 00:00,0,unverified data,PrecVal,
12-10-1978 00:00,0,unverified data,PrecVal,
13-10-1978 00:00,0,unverified data,PrecVal,
14-10-1978 00:00,0,unverified data,PrecVal,
15-10-1978 00:00,0,unverified data,PrecVal,
16-10-1978 00:00,0,unverified data,PrecVal,
17-10-1978 00:00,0,unverified data,PrecVal,
18-10-1978 00:00,0,unverified data,PrecVal,
19-10-1978 00:00,0,unverified data,PrecVal,
20-10-1978 00:00,0,unverified data,PrecVal,
21-10-1978 00:00,0,unverified data,PrecVal,
22-10-1978 00:00,0,unverified data,PrecVal,
23-10-1978 00:00,0,unverified data,PrecVal,
24-10-1978 00:00,0,unverified data,PrecVal,
25-10-1978 00:00,0,unverified data,PrecVal,
26-10-1978 00:00,0,unverified data,PrecVal,
27-10-1978 00:00,0,unverified data,PrecVal,
28-10-1978 00:00,0,unverified data,PrecVal,
29-10-1978 00:00,0,unverified data,PrecVal,
30-10-1978 00:00,0,unverified data,PrecVal,
31-10-1978 00:00,0,unverified data,PrecVal,
01-11-1978 00:00,0,unverified data,PrecVal,
02-11-1978 00:00,0,unverified data,PrecVal,
03-11-1978 00:00,0,unverified data,PrecVal,
04-11-1978 00:00,0,unverified data,PrecVal,
05-11-1978 00:00,0,unverified data,PrecVal,
06-11-1978 00:00,0,unverified data,PrecVal,
07-11-1978 00:00,0,unverified data,PrecVal,
08-11-1978 00:00,0,unverified data,PrecVal,
09-11-1978 00:00,0,unverified data,PrecVal,
10-11-1978 00:00,0,unverified data,PrecVal,
11-11-1978 00:00,0,unverified data,PrecVal,
12-11-1978 00:00,0,unverified data,PrecVal,
13-11-1978 00:00,0,unverified data,PrecVal,
14-11-1978 00:00,0,unverified data,PrecVal,
15-11-1978 00:00,0,unverified data,PrecVal,
16-11-1978 00:00,0,unverified data,PrecVal,
17-11-1978 00:00,0,unverified data,PrecVal,
18-11-1978 00:00,0,unverified data,PrecVal,
19-11-1978 00:00,0,unverified data,PrecVal,
20-11-1978 00:00,0,unverified data,PrecVal,
21-11-1978 00:00,0,unverified data,PrecVal,
22-11-1978 00:00,0,unverified data,PrecVal,
23-11-1978 00:00,0,unverified data,PrecVal,
24-11-1978 00:00,0,unverified data,PrecVal,
25-11-1978 00:00,0,unverified data,PrecVal,
26-11-1978 00:00,0,unverified data,PrecVal,
27-11-1978 00:00,0,unverified data,PrecVal,
28-11-1978 00:00,0,unverified data,PrecVal,
29-11-1978 00:00,0,unverified data,PrecVal,
30-11-1978 00:00,0,unverified data,PrecVal,
01-12-1978 00:00,0,unverified data,PrecVal,
02-12-1978 00:00,0,unverified data,PrecVal,
03-12-1978 00:00,0,unverified data,PrecVal,
04-12-1978 00:00,0,unverified data,PrecVal,
05-12-1978 00:00,0,unverified data,PrecVal,
06-12-1978 00:00,0,unverified data,PrecVal,
07-12-1978 00:00,0,unverified data,PrecVal,
08-12-1978 00:00,0,unverified data,PrecVal,
09-12-1978 00:00,0,unverified data,PrecVal,
10-12-1978 00:00,0,unverified data,PrecVal,
11-12-1978 00:00,0,unverified data,PrecVal,
12-12-1978 00:00,0,unverified data,PrecVal,
13-12-1978 00:00,0,unverified data,PrecVal,
14-12-1978 00:00,0,unverified data,PrecVal,
15-12-1978 00:00,0,unverified data,PrecVal,
16-12-1978 00:00,0,unverified data,PrecVal,
17-12-1978 00:00,0,unverified data,PrecVal,
18-12-1978 00:00,0,unverified data,PrecVal,
19-12-1978 00:00,0,unverified data,PrecVal,
20-12-1978 00:00,0,unverified data,PrecVal,
21-12-1978 00:00,0,unverified data,PrecVal,
22-12-1978 00:00,0,unverified data,PrecVal,
23-12-1978 00:00,0,unverified data,PrecVal,
24-12-1978 00:00,0,unverified data,PrecVal,
25-12-1978 00:00,0,unverified data,PrecVal,
26-12-1978 00:00,0,unverified data,PrecVal,
27-12-1978 00:00,0,unverified data,PrecVal,
28-12-1978 00:00,0,unverified data,PrecVal,
29-12-1978 00:00,0,unverified data,PrecVal,
30-12-1978 00:00,0,unverified data,PrecVal,
31-12-1978 00:00,0,unverified data,PrecVal,
01-01-1979 00:00,0,unverified data,PrecVal,
02-01-1979 00:00,0,unverified data,PrecVal,
03-01-1979 00:00,0,unverified data,PrecVal,
04-01-1979 00:00,0,unverified data,PrecVal,
05-01-1979 00:00,0,unverified data,PrecVal,
06-01-1979 00:00,0,unverified data,PrecVal,
07-01-1979 00:00,0,unverified data,PrecVal,
08-01-1979 00:00,0,unverified data,PrecVal,
09-01-1979 00:00,0,unverified data,PrecVal,
10-01-1979 00:00,0,unverified data,PrecVal,
11-01-1979 00:00,0,unverified data,PrecVal,
12-01-1979 00:00,0,unverified data,PrecVal,
13-01-1979 00:00,0,unverified data,PrecVal,
14-01-1979 00:00,0,unverified data,PrecVal,
15-01-1979 00:00,0,unverified data,PrecVal,
16-01-1979 00:00,0,unverified data,PrecVal,
17-01-1979 00:00,0,unverified data,PrecVal,
18-01-1979 00:00,0,unverified data,PrecVal,
19-01-1979 00:00,0,unverified data,PrecVal,
20-01-1979 00:00,0,unverified data,PrecVal,
21-01-1979 00:00,0,unverified data,PrecVal,
22-01-1979 00:00,0,unverified data,PrecVal,
23-01-1979 00:00,0,unverified data,PrecVal,
24-01-1979 00:00,0,unverified data,PrecVal,
25-01-1979 00:00,0,unverified data,PrecVal,
26-01-1979 00:00,0,unverified data,PrecVal,
27-01-1979 00:00,0,unverified data,PrecVal,
28-01-1979 00:00,0,unverified data,PrecVal,
29-01-1979 00:00,0,unverified data,PrecVal,
30-01-1979 00:00,0,unverified data,PrecVal,
31-01-1979 00:00,0,unverified data,PrecVal,
01-02-1979 00:00,0,unverified data,PrecVal,
02-02-1979 00:00,0,unverified data,PrecVal,
03-02-1979 00:00,0,unverified data,PrecVal,
04-02-1979 00:00,0,unverified data,PrecVal,
05-02-1979 00:00,0,unverified data,PrecVal,
06-02-1979 00:00,0,unverified data,PrecVal,
07-02-1979 00:00,0,unverified data,PrecVal,
08-02-1979 00:00,0,unverified data,PrecVal,
09-02-1979 00:00,0,unverified data,PrecVal,
10-02-1979 00:00,0,unverified data,PrecVal,
11-02-1979 00:00,0,unverified data,PrecVal,
12-02-1979 00:00,0,unverified data,PrecVal,
13-02-1979 00:00,0,unverified data,PrecVal,
14-02-1979 00:00,0,unverified data,PrecVal,
15-02-1979 00:00,0,unverified data,PrecVal,
16-02-1979 00:00,0,unverified data,PrecVal,
17-02-1979 00:00,0,unverified data,PrecVal,
18-02-1979 00:00,0,unverified data,PrecVal,
19-02-1979 00:00,0,unverified data,PrecVal,
20-02-1979 00:00,0,unverified data,PrecVal,
21-02-1979 00:00,0,unverified data,PrecVal,
22-02-1979 00:00,0,unverified data,PrecVal,
23-02-1979 00:00,0,unverified data,PrecVal,
24-02-1979 00:00,0,unverified data,PrecVal,
25-02-1979 00:00,0,unverified data,PrecVal,
26-02-1979 00:00,0,unverified data,PrecVal,
27-02-1979 00:00,0,unverified data,PrecVal,
28-02-1979 00:00,0,unverified data,PrecVal,
01-03-1979 00:00,0,unverified data,PrecVal,
02-03-1979 00:00,0,unverified data,PrecVal,
03-03-1979 00:00,0,unverified data,PrecVal,
04-03-1979 00:00,0,unverified data,PrecVal,
05-03-1979 00:00,0,unverified data,PrecVal,
06-03-1979 00:00,0,unverified data,PrecVal,
07-03-1979 00:00,0,unverified data,PrecVal,
08-03-1979 00:00,0,unverified data,PrecVal,
09-03-1979 00:00,0,unverified data,PrecVal,
10-03-1979 00:00,0,unverified data,PrecVal,
11-03-1979 00:00,0,unverified data,PrecVal,
12-03-1979 00:00,0,unverified data,PrecVal,
13-03-1979 00:00,0,unverified data,PrecVal,
14-03-1979 00:00,0,unverified data,PrecVal,
15-03-1979 00:00,0,unverified data,PrecVal,
16-03-1979 00:00,0,unverified data,PrecVal,
17-03-1979 00:00,0,unverified data,PrecVal,
18-03-1979 00:00,0,unverified data,PrecVal,
19-03-1979 00:00,0,unverified data,PrecVal,
20-03-1979 00:00,0,unverified data,PrecVal,
21-03-1979 00:00,0,unverified data,PrecVal,
22-03-1979 00:00,0,unverified data,PrecVal,
23-03-1979 00:00,0,unverified data,PrecVal,
24-03-1979 00:00,0,unverified data,PrecVal,
25-03-1979 00:00,0,unverified data,PrecVal,
26-03-1979 00:00,0,unverified data,PrecVal,
27-03-1979 00:00,0,unverified data,PrecVal,
28-03-1979 00:00,0,unverified data,PrecVal,
29-03-1979 00:00,0,unverified data,PrecVal,
30-03-1979 00:00,0,unverified data,PrecVal,
31-03-1979 00:00,0,unverified data,PrecVal,
01-04-1979 00:00,0,unverified data,PrecVal,
02-04-1979 00:00,0,unverified data,PrecVal,
03-04-1979 00:00,0,unverified data,PrecVal,
04-04-1979 00:00,0,unverified data,PrecVal,
05-04-1979 00:00,0,unverified data,PrecVal,
06-04-1979 00:00,0,unverified data,PrecVal,
07-04-1979 00:00,0,unverified data,PrecVal,
08-04-1979 00:00,0,unverified data,PrecVal,
09-04-1979 00:00,0,unverified data,PrecVal,
10-04-1979 00:00,0,unverified data,PrecVal,
11-04-1979 00:00,0,unverified data,PrecVal,
12-04-1979 00:00,0,unverified data,PrecVal,
13-04-1979 00:00,0,unverified data,PrecVal,
14-04-1979 00:00,0,unverified data,PrecVal,
15-04-1979 00:00,0,unverified data,PrecVal,
16-04-1979 00:00,0,unverified data,PrecVal,
17-04-1979 00:00,0,unverified data,PrecVal,
18-04-1979 00:00,0,unverified data,PrecVal,
19-04-1979 00:00,0,unverified data,PrecVal,
20-04-1979 00:00,0,unverified data,PrecVal,
21-04-1979 00:00,0,unverified data,PrecVal,
22-04-1979 00:00,0,unverified data,PrecVal,
23-04-1979 00:00,0,unverified data,PrecVal,
24-04-1979 00:00,0,unverified data,PrecVal,
25-04-1979 00:00,0,unverified data,PrecVal,
26-04-1979 00:00,0,unverified data,PrecVal,
27-04-1979 00:00,0,unverified data,PrecVal,
28-04-1979 00:00,0,unverified data,PrecVal,
29-04-1979 00:00,0,unverified data,PrecVal,
30-04-1979 00:00,0,unverified data,PrecVal,
01-05-1979 00:00,0,unverified data,PrecVal,
02-05-1979 00:00,0,unverified data,PrecVal,
03-05-1979 00:00,0,unverified data,PrecVal,
04-05-1979 00:00,0,unverified data,PrecVal,
05-05-1979 00:00,0,unverified data,PrecVal,
06-05-1979 00:00,0,unverified data,PrecVal,
07-05-1979 00:00,0,unverified data,PrecVal,
08-05-1979 00:00,0,unverified data,PrecVal,
09-05-1979 00:00,0,unverified data,PrecVal,
10-05-1979 00:00,0,unverified data,PrecVal,
11-05-1979 00:00,0,unverified data,PrecVal,
12-05-1979 00:00,0,unverified data,PrecVal,
13-05-1979 00:00,0,unverified data,PrecVal,
14-05-1979 00:00,0,unverified data,PrecVal,
15-05-1979 00:00,0,unverified data,PrecVal,
16-05-1979 00:00,0,unverified data,PrecVal,
17-05-1979 00:00,0,unverified data,PrecVal,
18-05-1979 00:00,0,unverified data,PrecVal,
19-05-1979 00:00,0,unverified data,PrecVal,
20-05-1979 00:00,0,unverified data,PrecVal,
21-05-1979 00:00,0,unverified data,PrecVal,
22-05-1979 00:00,0,unverified data,PrecVal,
23-05-1979 00:00,0,unverified data,PrecVal,
24-05-1979 00:00,0,unverified data,PrecVal,
25-05-1979 00:00,0,unverified data,PrecVal,
26-05-1979 00:00,0,unverified data,PrecVal,
27-05-1979 00:00,0,unverified data,PrecVal,
28-05-1979 00:00,0,unverified data,PrecVal,
29-05-1979 00:00,0,unverified data,PrecVal,
30-05-1979 00:00,0,unverified data,PrecVal,
31-05-1979 00:00,0,unverified data,PrecVal,
01-06-1979 00:00,0,unverified data,PrecVal,
02-06-1979 00:00,0,unverified data,PrecVal,
03-06-1979 00:00,0,unverified data,PrecVal,
04-06-1979 00:00,0,unverified data,PrecVal,
05-06-1979 00:00,0,unverified data,PrecVal,
06-06-1979 00:00,0,unverified data,PrecVal,
07-06-1979 00:00,0,unverified data,PrecVal,
08-06-1979 00:00,0,unverified data,PrecVal,
09-06-1979 00:00,0,unverified data,PrecVal,
10-06-1979 00:00,0,unverified data,PrecVal,
11-06-1979 00:00,0,unverified data,PrecVal,
12-06-1979 00:00,0,unverified data,PrecVal,
13-06-1979 00:00,0,unverified data,PrecVal,
14-06-1979 00:00,0,unverified data,PrecVal,
15-06-1979 00:00,0,unverified data,PrecVal,
16-06-1979 00:00,0,unverified data,PrecVal,
17-06-1979 00:00,0,unverified data,PrecVal,
18-06-1979 00:00,0,unverified data,PrecVal,
19-06-1979 00:00,0,unverified data,PrecVal,
20-06-1979 00:00,0,unverified data,PrecVal,
21-06-1979 00:00,0,unverified data,PrecVal,
22-06-1979 00:00,0,unverified data,PrecVal,
23-06-1979 00:00,0,unverified data,PrecVal,
24-06-1979 00:00,0,unverified data,PrecVal,
25-06-1979 00:00,0,unverified data,PrecVal,
26-06-1979 00:00,0,unverified data,PrecVal,
27-06-1979 00:00,0,unverified data,PrecVal,
28-06-1979 00:00,0,unverified data,PrecVal,
29-06-1979 00:00,0,unverified data,PrecVal,
30-06-1979 00:00,0,unverified data,PrecVal,
01-07-1979 00:00,0,estimated data,PrecVal,
02-07-1979 00:00,0,estimated data,PrecVal,
03-07-1979 00:00,0,estimated data,PrecVal,
04-07-1979 00:00,0,estimated data,PrecVal,
05-07-1979 00:00,0,estimated data,PrecVal,
06-07-1979 00:00,0,estimated data,PrecVal,
07-07-1979 00:00,0,estimated data,PrecVal,
08-07-1979 00:00,0,estimated data,PrecVal,
09-07-1979 00:00,0,estimated data,PrecVal,
10-07-1979 00:00,0,estimated data,PrecVal,
11-07-1979 00:00,0,estimated data,PrecVal,
12-07-1979 00:00,0,estimated data,PrecVal,
13-07-1979 00:00,0,estimated data,PrecVal,
14-07-1979 00:00,0,estimated data,PrecVal,
15-07-1979 00:00,0,estimated data,PrecVal,
16-07-1979 00:00,0,estimated data,PrecVal,
17-07-1979 00:00,0,estimated data,PrecVal,
18-07-1979 00:00,0,estimated data,PrecVal,
19-07-1979 00:00,0,estimated data,PrecVal,
20-07-1979 00:00,0,estimated data,PrecVal,
21-07-1979 00:00,0,estimated data,PrecVal,
22-07-1979 00:00,0,estimated data,PrecVal,
23-07-1979 00:00,0,estimated data,PrecVal,
24-07-1979 00:00,0,estimated data,PrecVal,
25-07-1979 00:00,0,estimated data,PrecVal,
26-07-1979 00:00,0,estimated data,PrecVal,
27-07-1979 00:00,0,estimated data,PrecVal,
28-07-1979 00:00,0,estimated data,PrecVal,
29-07-1979 00:00,0,estimated data,PrecVal,
30-07-1979 00:00,0,estimated data,PrecVal,
31-07-1979 00:00,0,estimated data,PrecVal,
01-08-1979 00:00,0,estimated data,PrecVal,
02-08-1979 00:00,0,estimated data,PrecVal,
03-08-1979 00:00,0,unverified data,PrecVal,
04-08-1979 00:00,0,unverified data,PrecVal,
05-08-1979 00:00,0,unverified data,PrecVal,
06-08-1979 00:00,0,unverified data,PrecVal,
07-08-1979 00:00,0,unverified data,PrecVal,
08-08-1979 00:00,0,unverified data,PrecVal,
09-08-1979 00:00,0,unverified data,PrecVal,
10-08-1979 00:00,0,unverified data,PrecVal,
11-08-1979 00:00,0,unverified data,PrecVal,
12-08-1979 00:00,0,unverified data,PrecVal,
13-08-1979 00:00,0,unverified data,PrecVal,
14-08-1979 00:00,0,unverified data,PrecVal,
15-08-1979 00:00,0,unverified data,PrecVal,
16-08-1979 00:00,0,unverified data,PrecVal,
17-08-1979 00:00,0,unverified data,PrecVal,
18-08-1979 00:00,0,unverified data,PrecVal,
19-08-1979 00:00,0,unverified data,PrecVal,
20-08-1979 00:00,0,unverified data,PrecVal,
21-08-1979 00:00,0,unverified data,PrecVal,
22-08-1979 00:00,0,unverified data,PrecVal,
23-08-1979 00:00,0,unverified data,PrecVal,
24-08-1979 00:00,0,unverified data,PrecVal,
25-08-1979 00:00,0,unverified data,PrecVal,
26-08-1979 00:00,0,unverified data,PrecVal,
27-08-1979 00:00,0,unverified data,PrecVal,
28-08-1979 00:00,0,unverified data,PrecVal,
29-08-1979 00:00,0,unverified data,PrecVal,
30-08-1979 00:00,0,unverified data,PrecVal,
31-08-1979 00:00,0,unverified data,PrecVal,
01-09-1979 00:00,0,unverified data,PrecVal,
02-09-1979 00:00,0,unverified data,PrecVal,
03-09-1979 00:00,0,unverified data,PrecVal,
04-09-1979 00:00,0,unverified data,PrecVal,
05-09-1979 00:00,0,unverified data,PrecVal,
06-09-1979 00:00,0,unverified data,PrecVal,
07-09-1979 00:00,0,unverified data,PrecVal,
08-09-1979 00:00,0,unverified data,PrecVal,
09-09-1979 00:00,0,unverified data,PrecVal,
10-09-1979 00:00,0,unverified data,PrecVal,
11-09-1979 00:00,0,unverified data,PrecVal,
12-09-1979 00:00,0,unverified data,PrecVal,
13-09-1979 00:00,0,unverified data,PrecVal,
14-09-1979 00:00,0,unverified data,PrecVal,
15-09-1979 00:00,0,unverified data,PrecVal,
16-09-1979 00:00,0,unverified data,PrecVal,
17-09-1979 00:00,0,unverified data,PrecVal,
18-09-1979 00:00,0,unverified data,PrecVal,
19-09-1979 00:00,0,unverified data,PrecVal,
20-09-1979 00:00,0,unverified data,PrecVal,
21-09-1979 00:00,0,unverified data,PrecVal,
22-09-1979 00:00,0,unverified data,PrecVal,
23-09-1979 00:00,0,unverified data,PrecVal,
24-09-1979 00:00,0,unverified data,PrecVal,
25-09-1979 00:00,0,unverified data,PrecVal,
26-09-1979 00:00,0,unverified data,PrecVal,
